Title;Review;Replay;Name;Rating;DateTime
Cash in hand are very helpful and ...;Cash in hand are very helpful and polite. I was there today and made a purchase and will definitely be back. Thank you for your help and patience;;Matt;5;2017-08-14T12:20:13
I have this company for a few ...;I've been using this company for a few years now, love the widget options for the website. It was good when I contacted her.;;James;5;2017-07-20T09:00:48
Just to calm your mind, we are ...;To reassure you, we use the C-R platform as a platform for collecting reviews. All ratings are displayed with no rating difference. The only difference is, how is setup or were the review left hat. Since you may only be able to see the ratings on the platform or if the settings are different, the ratings will also be displayed on the platforms on which the collector wishes to display them. If anyone has any doubts, I can give my account as an example, and we've collected just over 1000 reviews so far, and they have all been shown.;;Roy Raza;4;2019-08-23T14:09:13
Collective reviews - the best evaluation platform So far we have used.;We have been using Collect for over a year and find that the simple integrations take care of our product and company reviews. If you have a support request, nothing seems to be too much trouble. After looking at all the relevant providers before signing up for c-r.com, we believe we made the right choice. It appears that TrustPilot allows all types of ratings for a company that is completely irrelevant to the company. When you read, you should probably ignore those who complain about products, they don't sell hats or fits.;;Moon;5;2019-06-08T15:10:44
Great service and features;We had been considering using a review platform for a while and came across collect-reviews.co.uk after buying a small article online and receiving a very professional review on their platfor (£ 1200 a month) and CR were perfect from start to finish and we did the integration in less than a day.;;Peter Maxwell;5;2017-11-25T15:08:30
A really good review provider (even for a small business);I switched from Trustpilot to these people. After two months of being set up, I can report that everything is going really smoothly, and as a small business, the packages on offer are really good value and do a lot more than just reviews. Customer service was great - every time there was a problem it was resolved. If I have only one criticism, I can only create a bespoke review invitation that is technically a little tiring to go beyond the normal layouts, but once that is done, everything works fine. They also have a link that you can enter in emails so you don't get spam. And the best part is that my customers leave feedback - their own feedback is quick and easy to use. I would also recommend.;;Bill;5;2018-10-17T09:12:28
;Much better than trustpilot;;Alejandro A.;4;2018-07-23T14:31:02
;Easy to review and post, also allows you to upload images.;;John;5;2018-01-12T23:26:06
;Trustpilot tracks you with sales calls, false claims of the benefits of using your SEO. Collect reviews have a relaxed approach, an affordable approach and they don't track you with calls day after day with wrong sales calls. Like on Earth there are negative reviews here, I don't know. I can only imagine that they are wrong.;;Simon Francis;5;2013-02-01T12:31:56
Great customer service and fair ...;Great customer service and fair prices. Not sure what you could really ask for more.;;Christopher;5;2012-03-05T20:37:07
